1,null,0,0,0,0,0,0
2,Ring of Newcoming,0,0,0,0,0,0
3,Broken Ring,0,0,0,0,0,0
4,Rusted Brass Ring,0,0,0.05,0,0,0
5,Dusty Brass Ring,0,0,0.1,0,0,0
6,Simple Ring,0,0,0.15,0,0,0
7,Peasant's Ring,0,0,0.1,0,0,0
8,Dusty Bronze Ring,0,0,0.12,0,0,0
9,Basic Bronze Ring,0,0,0.2,0,0,0
10,Dirty Ring,0,0,0.06,0,0,0
11,Unwritten Ring,0,0,0.06,0,0,0
12,Ring of Stone,0,0,0.12,0,0,0
13,Cracked Ring,0,0,0.08,0,0,0
14,Villager's Ring,0,0,0.18,0,0,0
15,Dusty Copper Ring,0,0,0.15,0,0,0
16,Basic Copper Ring,0,0,0.25,0,0,0
17,Cheap Gold Ring,0,0,0.2,0,0,0
18,Scratched Ring,0,0,0.17,0,0,0
19,Smith's Ring,0,0,0.16,0,0,0
20,Ring of Nature,0,0,0.3,30,0,0
21,The Thief's Lucky Ring,0,0,0.5,40,0,0
22,The Gatherer's Ring,0,0,0.8,0,0,0
23,The Lost Ring,0,0,0,0,0,0
24,Banded Ring,0,0,0.3,10,0,0
25,Ring of Earth,0,0,0.75,30,0,0
26,Dusty Clay Ring,0,0,0.25,0,0,0
27,Basic Clay Ring,0,0,0.4,10,0,0
28,Forged Clay Ring,0,0,0.65,25,0,0
29,Well-Forged Clay Ring,0,0,0.8,40,0,0
30,The Chaser's Ring,0,0,0.75,35,0,0
31,Ring of the Gatekeeper,0,0,0.45,45,0,0
32,Ring of Decay,0,0,0.25,25,0,0
33,Dusty Iron Ring,0,0,0.3,0,0,0
34,Basic Iron Ring,0,0,0.5,15,0,0
35,Forged Iron Ring,0,0,0.75,30,0,0
36,Well-Forged Iron Ring,0,0,1,50,0,0
37,Ring of Void,0,0,0,0,0,0
38,Ring of Strength,0,0,3.5,25,0,0
39,The Lost Ring,0,0,0,0,0,0
40,Lucky Ring,0,0,4,0,0,0
41,Forged Gold Ring,0,0,1.6,50,10,0
42,Well-Forged Gold Ring,0,0,2.25,75,20,0
43,Relenting Gold Ring,0,0,2.75,100,30,0
44,Ring of the Skies,0,0,3.33,33,33,0
45,Ring of Glory,0,0,1.2,120,60,0
46,Ring of Crows,0,0,2.22,111,0,0
47,Forged Steel Ring,0,0,1.8,75,25,0
48,Well-Forged Steel Ring,0,0,2.4,120,40,0
49,Relenting Steel Ring,0,0,3,150,50,0
50,Ring of Fire,0,0,5,0,0,0
51,Ring of Ice,0,0,5,0,0,0
52,Ring of Treachery,0,0,0,0,85,0
53,Frosted Ring,0,0,2.4,100,35,0
54,Ring of the Moon,0,0,2,150,50,0
55,Ring of the Sun,0,0,2,150,50,0
56,Volcanic Ring,0,0,6,200,100,1000
57,The One Ring,0,0,25,0,0,1000
58,Abyssal Ring,0,0,0,0,0,7500
59,Ring of the Forbidden,0,0,10,500,250,0
60,Relenting Obsidian Ring,0,0,5,200,100,1000
61,Unbreakable Obsidian Ring,0,0,8,400,175,3000
62,Heaven's Ring,0,0,6,200,140,1500
63,Ring of the High King,0,0,6,300,100,1500
64,Emperor's Ring,0,0,5,200,100,1000
65,Ring of Atlantis,0,0,6.5,240,150,2000
66,Ring of Hades,0,0,6,250,150,2000
67,Ring of Olympus,0,0,7.5,400,175,4000
68,Ring of Corruption,0,0,0,0,500,2000
69,Mysterious Ring,0,0,0,0,0,0
70,Relenting Prismatic Ring,0,0,7.5,350,0,2500
71,Unbreakable Prismatic Ring,0,0,10,500,200,5000
72,Unbreakable Cosmic Ring,0,0,25,800,400,8000
73,Immortal Cosmic Ring,0,0,50,1500,1000,20000
74,Ring of the Galaxies,0,0,40,1000,750,12000
75,Ring of Infinity,0,0,100,2500,1500,1000
100,null,0,0,0,0,0,0
101,Gloves of Newcoming,0,0,0,0,0,0
102,Worned-out ragged Gloves,0,0,0,0,0,0
103,Worned-out cotton Gloves,0,0,0,0,0,0
104,Tattered cotton Gloves,0,0,0,0,0,0
105,Basic cotton Gloves,0,0,0,0,0,0
106,Worned-out leather Gloves,0,0,0,0,0,0
107,Tattered leather Gloves,0,0,0,0,0,0
108,Basic leather Gloves,0,0,0,0,0,0
109,Worned-out silk Gloves,0,0,0,0,0,0
110,Tattered silk Gloves,0,0,0,0,0,0
111,Basic silk Gloves,0,0,0,0,0,0
112,Gloria's Gloves,0,0,0,0,0,0
113,Gloves of the wanderer,0,0,0,0,0,0
114,Farmer's Gloves,0,0,0,0,0,0
115,Stolen Gloves,0,0,0,0,0,0
116,Gardening Gloves,0,0,0,0,0,0
117,Miner's Gloves,0,0,0,0,0,0
118,Alchemist's Gloves,0,0,0,0,0,0
119,Stitched Gloves,0,0,0,0,0,0
120,Gloves of the Smith,0,0,0,0,0,0
121,Gloves of Nature,0,0,0,0,0,0
122,Wizard's Gloves,0,0,0,0,0,0
123,Tattered fur Gloves,0,0,0,0,0,0
124,Basic fur Gloves,0,0,0,0,0,0
125,Woven fur Gloves,0,0,0,0,0,0
126,Well-Woven fur Gloves,0,0,0,0,0,0
127,Tattered snakeskin Gloves,0,0,0,0,0,0
128,Basic snakeskin Gloves,0,0,0,0,0,0
129,Woven snakeskin Gloves,0,0,0,0,0,0
130,Well-Woven snakeskin Gloves,0,0,0,0,0,0
131,Thief's Gloves,0,0,0,0,0,0
132,Pirate's Gloves,0,0,0,0,0,0
133,Gloves of the Hunt,0,0,0,0,0,0
134,Woven sharkskin Gloves,0,0,0,0,0,0
135,Well-Woven sharkskin Gloves,0,0,0,0,0,0
136,Relenting sharkskin Gloves,0,0,0,0,0,0
137,Gloves of Gold,0,0,0,0,0,0
138,Knight's Gloves,0,0,0,0,0,0
139,Woven Lionskin Gloves,0,0,0,0,0,0
140,Well-Woven Lionskin Gloves,0,0,0,0,0,0
141,Relenting Lionskin Gloves,0,0,0,0,0,0
142,Mountain Gloves,0,0,0,0,0,0
