1, Dirt, 1, 10, 50, 100
2, Stone, 3, 25, 250, 150000
3, Oakbark, 0, 0, 0, 0
4, Gravel, 15, 55, 250, 750
6, Clay, 250, 820, 750, 1500
7, Leather, 0, 0, 0, 0
8, Maplebark, 0, 0, 0, 0
9, Granite, 1000, 2500, 2500, 1500
10, Fur, 0, 0, 0, 0
11, Iron, 25000, 25000, 1000, 4000
12, Cotton, 0, 0, 0, 0
13, Lapis, 0, 0, 0, 0
14, Steel, 285000, 725000, 2500, 8000
15, Pinebark, 0, 0, 0, 0
16, Snakeskin, 0, 0, 0, 0
17, NA, 0, 0, 0, 0
18, Quartz, 50, 275, 5000, 15000
19, NA, 0, 0, 0, 0
20, NA, 0, 0, 0, 0
21, Lionskin, 0, 0, 0, 0
22, Obsidian, 15000, 50000, 250000, 1000000
23, Ebonbark, 0, 0, 0, 0
24, Sharkskin, 0, 0, 0, 0
25, Magmanite, 0, 0, 0, 0
26, Sagebark, 0, 0, 0, 0
27, Dragoscales, 0, 0, 0, 0
28, Corruption, 0, 0, 0, 0
29, Elderbark, 0, 0, 0, 0
30, Soulscales, 0, 0, 0, 0
31, Moondust, 0, 0, 0, 0
32, Cosmic Dust, 0, 0, 0, 0
